INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
DC,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
DE,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
FL,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
GA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
HI,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
IA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
ID,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
IL,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
IN,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
KS,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
KY,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
LA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MD,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
ME,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MI,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MN,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MO,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MS,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
MT,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
NC,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
ND,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_medium,-0.015199
