INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
ND,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NE,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NH,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NJ,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NM,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NV,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
NY,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OH,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OK,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
OR,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
PA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
RI,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SC,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
SD,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TN,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
TX,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
UT,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
VT,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WI,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WV,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
WY,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_30D_EV_tax-credit_high,-0.015199
AK,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
AL,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
AR,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
AZ,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
CA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
CO,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
CT,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
DC,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
DE,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
FL,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
GA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
HI,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
IA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
ID,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
IL,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
IN,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
KS,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
KY,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
LA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MD,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
ME,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MI,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MN,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MO,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MS,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
MT,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NC,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
ND,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NE,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NH,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NJ,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NM,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NV,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
NY,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
OH,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
OK,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
OR,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
PA,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
RI,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
SC,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
SD,trn_pass_road_LDV_4W,Car,BEV,2030,IRA_30D_EV_tax-credit_high,-0.030397
