INPUT_TABLE
Variable ID
GLIMPSEPFStdTechUpBoundP1

region,sector,subsector,tech,year,policy-name
EU-15,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
EU-15,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
EU-15,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Ukraine,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Europe_Non_EU,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
European Free Trade Association,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
India,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Indonesia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Japan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Mexico,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Middle East,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Pakistan,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2040,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2045,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
Russia,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2050,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
South Africa,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2025,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
South Africa,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2030,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
South Africa,elec_coal (conv pul),coal (conv pul),coal (conv pul) (cooling pond),2035,tchBnd_Up_Egu_Acr_Reg89920899072658907200090726609158463
