INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTranTechCost,,,,,,
,,,,,,
region,supplysector,tranSubsector,stub-technology,year,minicam.non.energy.input,input-cost
ID,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
IL,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
IN,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
KS,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
KY,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
LA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MA,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MD,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
ME,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MI,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MN,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MO,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MS,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
MT,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NC,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
ND,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NE,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NH,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NJ,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NM,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NV,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
NY,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
OH,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
OK,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,2025,IRA_alt_refuel_prop-credit_EV_charging,-0.000793
