INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechPriceAdj,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.non.energy.input,input.cost
base load generation,nuclear,nuc_base_Gen II,2020,tax credit,0
base load generation,nuclear,nuc_base_Gen II,2025,tax credit,-0.98
base load generation,nuclear,nuc_base_Gen II,2030,tax credit,-0.98
base load generation,nuclear,nuc_base_Gen II,2035,tax credit,-0.39
base load generation,nuclear,nuc_base_Gen II,2040,tax credit,0
base load generation,nuclear,nuc_base_Gen II,2045,tax credit,0
base load generation,nuclear,nuc_base_Gen II,2050,tax credit,0
base load generation,nuclear,nuc_base_Gen III,2020,tax credit,0
base load generation,nuclear,nuc_base_Gen III,2025,tax credit,-0.98
base load generation,nuclear,nuc_base_Gen III,2030,tax credit,-0.98
base load generation,nuclear,nuc_base_Gen III,2035,tax credit,-0.39
base load generation,nuclear,nuc_base_Gen III,2040,tax credit,0
base load generation,nuclear,nuc_base_Gen III,2045,tax credit,0
base load generation,nuclear,nuc_base_Gen III,2050,tax credit,0
base load generation,solar,PV_base_storage,2020,tax credit,0
base load generation,solar,PV_base_storage,2025,tax credit,-1.58
base load generation,solar,PV_base_storage,2030,tax credit,-1.58
base load generation,solar,PV_base_storage,2035,tax credit,-1.33
base load generation,solar,PV_base_storage,2040,tax credit,0
base load generation,solar,PV_base_storage,2045,tax credit,0
base load generation,solar,PV_base_storage,2050,tax credit,0
base load generation,wind,wind_base_storage,2020,tax credit,-1.16
base load generation,wind,wind_base_storage,2025,tax credit,-1.58
base load generation,wind,wind_base_storage,2030,tax credit,-1.58
base load generation,wind,wind_base_storage,2035,tax credit,-1.33
base load generation,wind,wind_base_storage,2040,tax credit,0
base load generation,wind,wind_base_storage,2045,tax credit,0
base load generation,wind,wind_base_storage,2050,tax credit,0
