INPUT_TABLE
Variable ID
12

sector,subsector,subsector2,technology,year,pollutant
base load generation,coal,coal_base_conv pul 2001-2005,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2006-2010,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2006-2010,coal (conv pul) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2006-2010,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2006-2010,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2011-2015,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2011-2015,coal (conv pul) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2011-2015,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul 2011-2015,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul before 1950,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul before 1950,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul before 1950,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul,coal (conv pul) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul,coal (conv pul) (seawater),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_CCS,coal (conv pul CCS) (seawater),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_retire_2020,coal (conv pul) (cooling pond),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_retire_2020,coal (conv pul) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_retire_2020,coal (conv pul) (once through),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_retire_2020,coal (conv pul) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_conv pul_retire_2020,coal (conv pul) (seawater),2015,CO2_ELEC
base load generation,coal,coal_base_IGCC,coal (IGCC) (dry cooling),2015,CO2_ELEC
base load generation,coal,coal_base_IGCC,coal (IGCC) (recirculating),2015,CO2_ELEC
base load generation,coal,coal_base_IGCC,coal (IGCC) (seawater),2015,CO2_ELEC
