INPUT_TABLE
Variable ID
12

sector,subsector,subsector2,technology,year,pollutant
peak generation,gas,gas_peak_steam/CT,gas (steam/CT) (dry cooling),2015,CO2_ELEC
peak generation,gas,gas_peak_steam/CT,gas (steam/CT) (once through),2015,CO2_ELEC
peak generation,gas,gas_peak_steam/CT,gas (steam/CT) (recirculating),2015,CO2_ELEC
peak generation,gas,gas_peak_steam/CT,gas (steam/CT) (seawater),2015,CO2_ELEC
peak generation,grid_storage,battery,grid_storage,2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC,refined liquids (CC) (dry cooling),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC,refined liquids (CC) (recirculating),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC,refined liquids (CC) (seawater),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC_CCS,refined liquids (CC CCS) (dry cooling),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC_CCS,refined liquids (CC CCS) (recirculating),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_CC_CCS,refined liquids (CC CCS) (seawater),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_steam/CT,refined liquids (steam/CT) (cooling pond),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_steam/CT,refined liquids (steam/CT) (dry cooling),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_steam/CT,refined liquids (steam/CT) (once through),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_steam/CT,refined liquids (steam/CT) (recirculating),2015,CO2_ELEC
peak generation,refined liquids,refined liquids_peak_steam/CT,refined liquids (steam/CT) (seawater),2015,CO2_ELEC
peak generation,solar,CSP_peak,CSP_peak (dry_hybrid),2015,CO2_ELEC
peak generation,solar,CSP_peak,CSP_peak (recirculating),2015,CO2_ELEC
peak generation,solar,PV_peak,PV_peak,2015,CO2_ELEC
