INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechCoalRet2,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,lifetime,fixedOutput
CT,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
FL,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
GA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
IA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
IL,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
KS,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
LA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MD,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
ME,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MI,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MN,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MO,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
MS,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
NC,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
NE,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
NH,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
NJ,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
NY,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
OH,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
OR,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
PA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
SC,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
TN,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
TX,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
VA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
VT,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
WA,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
WI,base load generation,nuclear,nuc_base_Gen III,2040,-1,0
AL,base load generation,nuclear,nuc_base_Gen III,2045,-1,0
AR,base load generation,nuclear,nuc_base_Gen III,2045,-1,0
AZ,base load generation,nuclear,nuc_base_Gen III,2045,-1,0
CA,base load generation,nuclear,nuc_base_Gen III,2045,-1,0
CT,base load generation,nuclear,nuc_base_Gen III,2045,-1,0
